,Machine_1,Machine_2,Machine_3,Machine_4,Machine_5,Machine_6,Machine_7,Machine_8,Machine_9,Machine_10
Job_82,71,26,3,63,29,84,98,59,3,31
Job_83,10,6,96,17,29,54,22,74,31,15
Job_84,82,27,80,29,10,83,95,61,3,94
Job_85,10,89,12,9,51,92,15,14,40,87
Job_86,30,92,65,45,19,91,23,17,25,18
Job_87,60,20,87,56,49,93,80,54,88,72
Job_88,37,35,92,26,81,90,44,63,40,33
Job_89,86,75,53,41,16,19,68,85,50,97
Job_90,19,60,65,64,79,19,32,76,6,31
Job_91,63,53,36,72,15,46,81,43,42,80
Job_92,66,33,42,90,41,56,2,80,58,34
Job_93,84,51,9,64,45,23,99,65,49,97
Job_94,5,28,50,79,42,52,19,4,22,10
Job_95,83,94,13,26,40,3,65,86,50,33
Job_96,63,91,33,32,11,57,84,23,50,70
Job_97,52,70,8,30,67,75,59,39,79,51
Job_98,23,10,92,4,61,48,53,71,14,56
Job_99,68,22,15,37,37,90,48,42,49,36
Job_100,89,30,30,8,55,95,16,12,48,24
Job_101,3,37,12,30,82,55,52,55,82,59
Job_102,77,56,50,43,4,69,72,72,54,93
Job_103,92,78,36,62,6,18,92,54,81,9
Job_104,32,17,34,8,27,31,44,39,81,27
Job_105,72,25,60,55,72,37,82,12,51,22
Job_106,74,57,51,19,69,5,33,7,79,8
Job_107,34,28,89,49,51,5,19,44,59,94
Job_108,10,63,93,19,75,88,1,90,61,5
Job_109,16,82,57,53,45,68,27,21,5,77
Job_110,84,30,29,81,63,75,65,66,40,73
Job_111,90,8,53,85,53,95,44,65,78,40
Job_112,10,16,46,88,65,67,79,85,7,92
Job_113,46,29,81,66,3,30,50,74,23,32
Job_114,60,96,83,13,88,39,95,3,97,69
Job_115,38,68,57,32,56,77,72,65,45,77
Job_116,64,26,16,57,57,32,81,76,12,42
Job_117,3,32,55,59,71,86,53,88,97,83
Job_118,76,53,93,4,93,62,93,78,56,80
Job_119,16,95,17,46,7,56,8,18,71,74
Job_120,65,98,23,98,7,82,69,56,43,24
Job_121,68,79,30,40,46,21,64,37,39,21
Job_122,7,16,49,43,38,5,50,17,36,86
Job_123,64,23,87,85,31,55,14,57,79,96
Job_124,12,54,55,30,18,28,80,42,78,10
Job_125,11,30,26,50,87,63,63,70,7,24
Job_126,58,68,38,66,17,68,11,29,76,46
Job_127,86,27,74,12,37,71,11,86,62,38
Job_128,4,54,60,29,20,34,59,51,87,37
Job_129,73,63,95,68,50,99,49,31,81,38
Job_130,11,84,57,14,5,49,28,35,84,55
Job_131,48,25,63,67,71,35,6,85,75,47
Job_132,63,20,82,14,83,65,48,61,41,80
Job_133,93,3,38,81,48,72,36,41,77,49
Job_134,27,46,73,64,46,68,64,65,13,2
Job_135,32,39,5,53,99,54,62,5,62,38
Job_136,7,48,36,34,90,13,95,62,61,86
Job_137,68,41,36,45,59,68,94,95,92,33
Job_138,76,45,10,60,83,95,24,59,84,10
Job_139,5,64,20,83,29,44,9,32,24,91
Job_140,31,4,16,34,16,9,13,93,14,14
Job_141,46,46,44,51,70,93,29,30,90,1
Job_142,9,70,73,19,17,61,29,43,45,60
Job_143,38,16,57,35,74,46,85,64,25,42
Job_144,68,6,46,12,70,31,66,64,36,55
Job_145,69,46,8,52,52,31,89,75,26,33
Job_146,58,93,31,34,12,41,30,96,66,13
Job_147,68,65,79,76,50,33,20,65,30,49
Job_148,52,95,61,59,61,89,7,72,92,42
Job_149,43,19,19,96,75,97,24,10,2,95
Job_150,94,25,4,62,31,56,51,12,67,5
Job_151,79,70,88,98,7,4,56,93,89,66
Job_152,34,2,40,95,6,9,35,98,82,45
Job_153,45,56,13,45,74,75,64,92,73,44
Job_154,95,73,15,94,13,31,77,39,93,40
Job_155,36,78,89,14,9,62,7,40,51,82
Job_156,37,77,49,85,76,88,8,97,80,57
Job_157,78,24,98,69,25,40,55,81,77,19
Job_158,78,83,66,25,87,61,79,10,19,73
Job_159,54,36,94,56,38,87,45,43,17,65
Job_160,39,44,60,42,77,60,79,66,3,62
Job_161,50,97,31,46,84,67,19,47,11,26
Job_162,49,63,55,93,25,54,69,61,92,69
Job_163,98,64,61,69,48,86,46,84,34,83
Job_164,3,7,69,24,74,25,79,14,33,1
Job_165,2,1,16,32,54,41,53,65,35,7
Job_166,99,97,32,28,26,68,5,42,23,55
Job_167,28,49,61,70,45,44,48,83,25,19
Job_168,39,67,80,14,42,81,31,6,65,6
Job_169,62,18,55,30,83,33,71,1,29,89
Job_170,40,56,86,64,46,30,20,2,94,66
Job_171,77,86,6,18,14,46,64,79,53,66
Job_172,9,15,13,87,62,44,5,7,96,49
Job_173,53,8,35,42,16,80,80,82,74,37
Job_174,70,79,80,64,60,44,2,75,28,66
Job_175,70,44,87,49,79,5,29,84,28,19
Job_176,58,14,43,72,61,40,10,93,49,52
Job_177,21,85,37,8,60,49,89,61,76,75
Job_178,85,57,18,10,65,93,96,51,72,71
Job_179,71,92,73,21,1,55,72,51,47,47
Job_180,98,79,4,84,70,7,26,83,40,3
Job_181,7,15,1,37,15,80,67,51,25,14
Job_182,23,94,40,91,18,17,60,25,40,44
Job_183,86,33,30,29,8,60,53,2,73,56
Job_184,19,27,93,63,46,61,65,20,76,45
Job_185,63,68,17,18,19,30,27,70,91,48
Job_186,41,65,75,86,8,87,46,44,76,92
Job_187,82,7,89,13,76,83,5,61,56,39
Job_188,34,26,46,92,2,74,79,67,96,71
Job_189,98,87,60,26,43,92,53,62,71,58
Job_190,42,48,17,15,76,62,26,37,66,37
Job_191,60,96,43,60,40,58,32,71,80,11
Job_192,80,32,22,2,95,15,6,82,48,84
Job_193,65,25,62,12,24,14,65,98,46,83
Job_194,32,61,37,96,64,41,47,37,75,86
Job_195,60,15,90,85,31,48,50,90,61,35
Job_196,33,8,50,62,54,97,38,78,98,66
Job_197,77,74,11,77,24,89,21,80,3,93
Job_198,6,70,43,79,3,90,36,80,41,84
Job_199,93,74,10,4,75,85,50,91,75,35
Job_200,79,31,95,66,27,4,49,73,88,13
Job_201,77,93,8,44,40,51,48,21,76,49
Job_202,93,96,70,72,37,68,32,7,88,50
Job_203,36,53,68,83,10,4,4,27,21,95
Job_204,10,94,77,94,76,2,43,27,19,79
Job_205,29,99,38,3,42,47,33,19,41,34
Job_206,18,5,7,52,89,34,60,35,82,9
Job_207,34,46,82,6,40,56,12,10,31,45
Job_208,65,86,5,76,19,49,48,64,78,97
Job_209,58,74,94,56,58,94,20,15,27,1
Job_210,10,81,67,64,65,47,40,32,29,6
Job_211,64,96,98,85,47,23,87,54,7,37
Job_212,9,62,74,31,88,78,44,93,4,80
Job_213,21,41,42,46,84,38,74,39,85,73
Job_214,48,97,92,14,88,42,36,73,7,6
Job_215,25,24,23,98,16,99,73,18,3,6
Job_216,38,7,88,92,48,82,33,96,88,27
Job_217,18,27,3,68,45,80,63,43,84,64
Job_218,49,68,90,32,76,11,41,80,38,90
Job_219,59,39,83,91,12,87,2,36,43,22
Job_220,44,77,15,39,32,70,38,25,15,98
Job_221,40,27,91,74,79,12,86,27,44,66
Job_222,75,84,20,46,57,55,3,56,88,26
Job_223,32,40,34,76,87,51,84,29,70,22
Job_224,86,37,85,90,27,29,50,67,28,93
Job_225,53,44,90,62,76,22,37,40,13,26
Job_226,2,46,99,23,16,36,81,99,21,40
Job_227,26,95,88,15,37,78,52,10,44,41
Job_228,35,83,32,5,96,56,5,16,60,9
Job_229,26,20,48,57,33,93,4,85,74,23
Job_230,11,74,74,15,88,4,47,15,77,66
Job_231,88,30,3,89,76,30,20,72,66,20
Job_232,23,48,59,58,37,95,98,16,70,81
Job_233,83,51,32,72,68,94,10,2,98,17
Job_234,20,20,95,72,84,25,18,1,90,85
Job_235,8,74,81,65,66,60,95,69,51,7
Job_236,50,97,56,15,70,45,44,1,41,26
Job_237,13,2,7,64,61,56,92,27,23,95
Job_238,53,45,56,64,51,88,33,38,53,56
Job_239,30,24,35,31,75,40,24,77,25,41
Job_240,25,18,43,81,75,62,64,16,97,54
Job_241,91,87,56,71,26,25,7,71,80,4
Job_242,50,7,56,77,76,2,57,49,98,27
Job_243,16,72,65,40,78,66,71,53,70,33
Job_244,35,85,57,49,63,56,16,35,80,84
Job_245,65,65,40,44,37,21,88,51,56,62
Job_246,11,20,7,99,28,75,41,63,50,42
Job_247,30,35,93,23,90,48,44,64,9,24
Job_248,67,25,76,28,81,63,63,56,37,41
Job_249,56,94,85,58,74,73,35,30,90,73
Job_250,76,14,74,96,24,91,94,50,76,32
Job_251,71,63,21,8,40,93,43,30,11,32
Job_252,56,56,78,62,55,13,75,90,68,32
Job_253,14,99,25,18,22,41,34,38,6,16
Job_254,50,65,54,74,51,72,13,60,5,83
Job_255,39,42,34,5,77,73,65,28,55,94
Job_256,69,31,41,37,79,80,74,34,95,28
Job_257,96,6,66,47,93,28,31,79,90,25
Job_258,55,34,94,29,18,14,44,37,69,19
Job_259,41,79,40,99,30,82,33,95,19,93
Job_260,37,50,73,75,29,26,10,35,88,13
Job_261,96,78,91,63,3,83,19,35,99,56
Job_262,28,73,44,81,41,29,77,23,85,33
Job_263,26,80,45,18,78,75,58,28,7,59
Job_264,19,75,97,10,21,26,78,38,2,40
Job_265,3,32,14,51,63,86,92,36,11,49
Job_266,51,32,51,6,68,66,84,58,77,45
Job_267,74,9,67,93,86,8,60,46,20,77
Job_268,95,23,46,63,9,82,78,26,72,58
Job_269,93,45,51,5,33,25,11,45,4,67
Job_270,27,48,83,38,44,15,94,53,33,23
Job_271,6,33,86,2,57,44,3,73,54,78
Job_272,20,54,25,92,14,35,97,40,40,36
Job_273,78,48,48,74,95,51,19,11,87,27
Job_274,77,26,7,76,19,11,95,66,96,95
Job_275,42,69,35,4,36,68,80,76,52,1
Job_276,81,37,86,40,95,36,49,94,18,72
Job_277,64,6,36,95,69,36,96,13,58,18
Job_278,98,97,74,72,71,11,93,49,1,58
Job_279,88,6,21,66,41,80,37,15,71,66
Job_280,29,13,59,63,63,46,30,78,87,87
Job_281,73,84,27,97,71,6,48,1,98,7
Job_282,33,80,85,97,1,69,89,2,43,65
Job_283,74,11,97,68,40,69,23,63,9,23
Job_284,14,41,7,49,11,87,35,36,42,18
Job_285,86,10,43,13,4,65,25,11,14,36
Job_286,96,16,51,13,31,96,9,92,85,3
Job_287,10,31,58,96,56,91,88,28,52,77
Job_288,86,33,27,26,11,98,88,49,56,74
Job_289,28,10,90,63,82,14,93,77,3,97
Job_290,36,94,19,17,65,3,55,85,6,56
Job_291,94,88,78,36,24,15,23,53,71,32
Job_292,18,70,84,48,26,78,33,93,9,11
Job_293,93,43,64,40,9,35,33,28,71,6
Job_294,19,76,21,77,71,37,16,39,73,63
Job_295,65,44,90,30,66,74,14,5,50,84
Job_296,62,21,86,89,70,10,39,91,26,64
Job_297,5,22,93,66,67,97,79,72,76,53
Job_298,69,86,71,64,15,3,92,4,75,53
Job_299,64,64,98,51,22,91,66,50,47,38
Job_300,63,24,93,99,5,77,61,49,73,96
Job_301,11,12,25,55,72,17,92,63,17,52
Job_302,39,13,95,55,17,70,73,1,69,78
Job_303,62,72,27,42,6,4,36,32,11,79
Job_304,87,88,63,65,65,69,35,75,82,9
Job_305,27,32,43,42,44,30,81,66,51,65
Job_306,10,80,91,40,54,74,49,93,82,22
Job_307,11,82,14,48,8,59,22,6,11,57
Job_308,4,54,43,53,39,67,96,6,14,50
Job_309,96,32,26,19,30,33,45,2,61,27
Job_310,46,16,38,2,4,95,55,39,40,10
Job_311,39,27,34,42,24,20,80,92,21,46
Job_312,93,53,88,42,65,24,57,89,57,21
Job_313,16,58,41,48,55,24,66,75,50,45
Job_314,70,98,37,97,13,32,60,34,39,90
Job_315,73,64,62,32,37,35,84,99,36,96
Job_316,9,58,21,38,87,29,9,84,71,52
Job_317,72,16,76,62,14,30,37,8,76,97
Job_318,87,8,91,19,20,60,91,47,50,24
Job_319,14,85,74,56,20,15,17,42,29,64
Job_320,51,14,34,84,28,64,55,28,63,74
Job_321,32,6,14,60,99,14,23,38,29,12
Job_322,38,43,22,37,94,79,86,33,69,38
Job_323,34,94,90,67,84,84,5,37,39,46
Job_324,6,59,22,50,14,37,5,2,91,83
Job_325,68,59,33,76,75,78,62,18,36,35
Job_326,96,43,20,47,39,47,4,42,97,85
Job_327,21,83,42,11,73,24,89,1,99,83
Job_328,4,41,55,16,30,16,77,80,32,81
Job_329,11,57,57,54,73,48,5,4,12,83
Job_330,6,87,45,86,7,1,48,11,57,82
Job_331,60,3,96,72,75,6,33,25,11,64
Job_332,20,2,92,38,20,39,61,65,54,13
Job_333,56,32,37,92,37,50,91,20,45,98
Job_334,40,87,47,52,65,62,47,48,54,38
Job_335,46,97,98,30,92,8,62,40,39,15
Job_336,12,69,24,6,11,22,10,14,54,84
Job_337,94,64,69,92,5,73,66,22,22,62
Job_338,17,64,37,94,2,44,64,95,72,68
Job_339,41,60,66,92,34,20,53,70,59,65
Job_340,3,29,63,87,89,47,63,52,15,76
Job_341,88,62,54,79,21,16,22,42,86,28
Job_342,46,9,90,12,60,24,42,88,2,98
Job_343,64,39,13,14,50,42,50,70,36,21
Job_344,85,80,66,57,6,37,20,68,11,41
Job_345,78,28,90,19,93,26,96,24,34,20
Job_346,2,47,90,15,15,18,90,99,14,55
Job_347,23,62,12,6,11,57,24,58,42,7
Job_348,79,82,91,16,21,25,40,6,43,78
Job_349,35,22,7,22,87,23,99,45,54,27
Job_350,50,64,5,2,88,45,13,67,67,40
Job_351,77,33,99,30,11,8,62,28,5,4
Job_352,20,91,1,95,85,7,87,36,18,17
Job_353,43,91,37,35,48,14,67,20,96,88
Job_354,6,46,2,95,1,68,60,17,50,1
Job_355,48,17,10,92,24,44,12,50,9,77
Job_356,80,79,94,55,66,76,7,20,60,65
Job_357,22,20,19,17,76,89,71,5,89,54
Job_358,26,85,11,88,55,30,31,63,66,79
Job_359,52,16,54,2,81,75,35,65,14,86
Job_360,39,44,80,57,93,60,44,56,62,67
Job_361,91,27,46,98,24,11,56,76,79,48
Job_362,43,90,7,64,69,71,12,8,50,55
Job_363,91,30,34,37,99,92,31,59,34,85
Job_364,78,6,89,39,68,28,97,22,74,24
Job_365,66,87,45,50,41,87,13,3,22,6
Job_366,31,70,42,12,36,50,42,14,33,70
Job_367,58,12,91,91,40,91,69,33,30,7
Job_368,29,88,20,70,83,97,12,95,32,27
Job_369,92,19,3,4,56,38,94,8,5,11
Job_370,19,16,17,19,26,23,36,83,27,44
Job_371,99,96,98,8,5,82,80,48,58,42
Job_372,33,98,28,92,1,25,7,67,18,60
Job_373,18,63,16,95,87,38,67,12,6,8
Job_374,33,65,74,71,24,41,17,3,65,81
Job_375,4,32,84,95,76,72,71,72,50,1
Job_376,75,75,45,53,55,78,41,42,64,97
Job_377,8,57,88,72,5,56,3,67,90,11
Job_378,78,55,57,13,9,18,14,94,68,55
Job_379,29,85,94,46,86,56,84,7,25,56
Job_380,19,41,40,20,1,11,22,23,89,92
Job_381,91,83,67,95,12,84,90,83,53,99
Job_382,57,59,71,21,61,86,76,46,55,91
Job_383,74,51,97,24,30,81,89,99,46,92
Job_384,4,39,19,90,93,4,44,89,77,38
Job_385,41,20,11,38,85,47,24,31,82,94
Job_386,34,21,11,44,23,47,43,25,83,30
Job_387,80,30,22,53,10,3,23,49,15,16
Job_388,68,45,61,87,11,17,67,55,86,38
Job_389,9,68,90,50,36,97,78,40,79,28
Job_390,19,64,11,47,77,5,34,85,33,76
Job_391,71,4,30,90,26,28,50,96,96,80
Job_392,15,88,89,31,8,9,38,23,6,47
Job_393,69,67,44,37,12,8,66,83,96,1
Job_394,12,98,43,38,82,83,88,66,30,46
Job_395,38,9,34,80,96,45,76,98,88,77
Job_396,9,38,80,17,14,55,36,17,43,2
Job_397,33,9,53,5,45,47,7,52,32,24
Job_398,62,9,37,67,28,39,37,67,98,90
Job_399,47,67,49,5,17,45,94,96,26,27
Job_400,22,92,19,65,65,50,76,11,46,50
Job_401,75,21,66,96,29,36,40,9,51,54
Job_402,84,30,52,42,44,59,13,20,61,11
Job_403,6,40,73,14,59,26,60,69,20,52
Job_404,99,51,73,70,72,98,30,37,72,56
Job_405,11,56,52,34,32,1,76,37,38,3
Job_406,97,20,84,4,32,41,97,38,63,61
Job_407,43,46,28,51,11,84,19,69,40,43
Job_408,86,70,27,23,31,90,94,89,85,94
Job_409,99,56,97,18,55,13,89,76,9,52
Job_410,9,3,98,9,48,68,12,72,54,41
Job_411,48,70,6,62,42,99,59,59,34,98
Job_412,68,11,36,37,64,70,96,8,96,39
Job_413,4,9,40,38,24,7,41,40,33,40
Job_414,38,15,21,85,10,63,33,29,86,72
Job_415,29,68,85,86,20,98,11,15,71,75
Job_416,63,73,26,51,7,87,38,51,42,30
Job_417,63,90,34,64,15,97,39,30,14,49
Job_418,66,34,45,84,53,42,60,92,59,61
Job_419,25,53,60,46,55,16,72,38,47,3
Job_420,51,20,30,22,22,35,67,67,92,36
Job_421,28,97,66,22,26,79,48,25,98,67
Job_422,39,90,89,22,18,42,7,37,9,54
Job_423,40,66,23,16,91,31,86,43,4,99
Job_424,30,80,57,8,64,80,7,32,8,97
Job_425,13,66,91,55,79,11,22,71,25,48
Job_426,94,68,91,96,73,45,41,12,22,77
Job_427,30,45,69,84,18,8,43,32,2,70
Job_428,26,50,13,32,68,81,95,95,22,66
Job_429,95,76,21,85,61,91,80,56,9,54
Job_430,35,1,38,4,88,88,58,27,97,66
Job_431,12,66,59,92,44,5,27,66,21,97
Job_432,26,76,32,47,86,83,89,98,75,19
Job_433,55,45,38,45,4,23,25,55,61,86
Job_434,32,48,21,40,22,56,87,16,37,77
Job_435,25,87,99,79,86,83,1,13,6,13
Job_436,55,27,80,68,55,16,89,94,74,74
Job_437,46,9,60,11,1,59,87,93,57,2
Job_438,76,57,59,81,69,70,46,3,79,93
Job_439,19,72,71,95,13,5,20,88,40,58
Job_440,92,49,64,11,5,64,4,38,88,82
Job_441,1,88,32,17,63,42,21,69,28,21
Job_442,52,19,27,66,38,59,19,30,72,12
Job_443,83,99,95,12,5,6,96,84,68,36
Job_444,19,18,2,5,1,41,57,79,1,14
Job_445,87,53,54,54,9,29,26,76,1,23
Job_446,65,7,35,54,56,12,86,7,76,24
Job_447,16,63,30,20,78,71,89,85,47,52
Job_448,9,68,13,5,32,35,30,39,68,30
Job_449,90,50,60,65,92,99,11,22,66,20
Job_450,96,5,54,72,33,30,80,9,14,80
Job_451,24,60,14,16,27,87,42,70,39,27
Job_452,55,19,58,83,26,51,38,66,52,39
Job_453,34,52,18,22,73,64,97,10,95,34
Job_454,98,24,62,58,35,62,85,1,48,42
Job_455,69,67,38,68,8,85,44,2,40,26
Job_456,32,79,15,4,8,42,50,88,55,47
Job_457,44,61,78,88,20,41,57,36,82,47
Job_458,24,2,40,81,25,25,75,20,3,23
Job_459,47,99,61,80,66,74,47,4,45,41
Job_460,95,45,80,99,95,19,43,55,21,87
Job_461,42,23,53,73,50,38,86,53,34,45
Job_462,98,96,97,57,15,5,81,60,23,17
Job_463,1,62,65,34,93,56,5,29,58,90
Job_464,27,86,26,21,30,53,89,52,50,47
Job_465,89,17,43,72,10,11,21,33,88,51
Job_466,33,61,46,41,76,65,8,37,68,8
Job_467,76,85,37,27,29,34,56,10,26,86
Job_468,4,15,82,86,49,75,90,24,71,71
Job_469,49,38,84,95,94,16,92,9,80,41
Job_470,57,15,95,25,70,25,78,49,44,82
Job_471,18,51,95,90,90,6,47,99,26,5
Job_472,15,44,59,9,92,41,45,66,42,61
Job_473,5,67,53,79,97,41,6,17,39,51
Job_474,12,84,2,2,31,29,20,20,71,14
Job_475,91,8,58,1,51,44,86,99,76,23
Job_476,12,37,8,11,47,8,47,13,83,62
Job_477,8,21,93,96,4,41,76,9,16,71
Job_478,66,55,43,36,74,12,87,24,96,38
Job_479,58,61,47,75,48,61,38,73,92,65
Job_480,1,41,18,37,27,77,32,19,59,26
Job_481,57,2,87,37,24,38,87,66,68,27
Job_482,71,98,37,7,53,35,25,11,37,23
Job_483,70,72,13,58,35,76,62,51,78,31
Job_484,60,4,56,47,98,40,58,11,86,81
Job_485,29,25,63,93,51,29,93,98,64,42
Job_486,61,75,97,51,40,36,61,8,57,21
Job_487,22,23,27,85,60,41,74,21,59,94
Job_488,17,90,36,89,35,10,19,45,92,70
Job_489,33,38,39,22,77,70,56,23,32,3
Job_490,80,54,21,84,61,34,49,15,95,6
Job_491,22,82,84,52,91,88,59,4,43,18
Job_492,34,72,30,78,9,25,96,42,98,85
Job_493,15,27,9,97,24,52,27,34,42,96
Job_494,56,92,23,9,54,45,35,85,19,5
Job_495,14,58,60,55,85,39,16,19,28,26
Job_496,59,16,16,43,29,63,59,11,45,97
Job_497,84,10,56,51,30,58,52,71,35,42
Job_498,5,13,1,24,72,87,69,92,17,10
Job_499,27,29,95,25,72,11,37,39,44,91
Job_500,97,52,65,76,7,26,87,60,61,54
